"area","year","month","制御があった日数"
"tohoku",2022,2,0
"tohoku",2022,3,0
"tohoku",2022,4,5
"tohoku",2022,5,9
"tohoku",2022,6,0
"tohoku",2022,7,0
"tohoku",2022,8,0
"tohoku",2022,9,0
"tohoku",2022,10,0
"tohoku",2022,11,0
"tohoku",2022,12,0
"tohoku",2023,1,0
"tohoku",2023,2,0
"tohoku",2023,3,4
"tohoku",2023,4,5
"tohoku",2023,5,4
"tohoku",2023,6,2
"tohoku",2023,7,0
"tohoku",2023,8,0
"tohoku",2023,9,0
"tohoku",2023,10,0
"tohoku",2023,11,0
"tohoku",2023,12,0
